log_attempts,failure_rate,approval_rate,infra_share,cards_per_attempt,small_amount_share,burstiness,recovery_rate,top_session_failure_share,log_failing_sessions,is_abuse,group,origin
3.931826,0.92,0.08,0,1,1,0.970048,0,1,0.693147,1,attack_loud_0,attack_loud
3.931826,0.92,0.08,0,1,1,0.970048,0,1,0.693147,1,attack_loud_0,attack_loud
1.098612,1,0,0,1,1,0,0,0.045455,3.713572,1,attack_distributed_0,attack_distributed
1.098612,1,0,0,1,1,0,0,0.045455,3.713572,1,attack_distributed_0,attack_distributed
1.098612,1,0,0,1,1,0,0,0.045455,3.713572,1,attack_distributed_0,attack_distributed
1.098612,1,0,0,1,1,0,0,0.045455,3.713572,1,attack_distributed_0,attack_distributed
3.828641,0.977778,0.022222,0,1,1,0.747314,0,0.045455,3.713572,1,attack_distributed_0,attack_distributed
2.079442,1,0,0,1,1,0.601852,0,0.21875,1.791759,1,attack_low_amplitude_0,attack_low_amplitude
2.079442,1,0,0,1,1,0.613052,0,0.21875,1.791759,1,attack_low_amplitude_0,attack_low_amplitude
2.079442,0.857143,0.142857,0,1,1,0.434139,0,0.21875,1.791759,1,attack_low_amplitude_0,attack_low_amplitude
2.079442,0.857143,0.142857,0,1,1,0.517438,0,0.21875,1.791759,1,attack_low_amplitude_0,attack_low_amplitude
3.583519,0.914286,0.085714,0,1,1,1.059719,0,0.21875,1.791759,1,attack_low_amplitude_0,attack_low_amplitude
0.693147,1,0,1,1,0,0,0,0.037037,3.332205,0,gateway_outage_0,gateway_outage
0.693147,1,0,1,1,0,0,0,0.037037,3.332205,0,gateway_outage_0,gateway_outage
0.693147,1,0,1,1,0,0,0,0.037037,3.332205,0,gateway_outage_0,gateway_outage
0.693147,1,0,1,1,0,0,0,0.037037,3.332205,0,gateway_outage_0,gateway_outage
0.693147,1,0,1,1,0,0,0,0.037037,3.332205,0,gateway_outage_0,gateway_outage
0.693147,1,0,1,1,0,0,0,0.037037,3.332205,0,gateway_outage_0,gateway_outage
0.693147,1,0,1,1,0,0,0,0.037037,3.332205,0,gateway_outage_0,gateway_outage
0.693147,1,0,1,1,0,0,0,0.037037,3.332205,0,gateway_outage_0,gateway_outage
3.931826,0.54,0.46,1,1,0,0.753012,0,0.037037,3.332205,0,gateway_outage_0,gateway_outage
2.70805,0.928571,0.071429,0,0.571429,0,0.394302,0,0.342105,1.386294,0,retry_storm_0,retry_storm
2.639057,1,0,0,0.615385,0,0.596493,0,0.342105,1.386294,0,retry_storm_0,retry_storm
2.639057,0.923077,0.076923,0,0.615385,0,0.432141,0,0.342105,1.386294,0,retry_storm_0,retry_storm
3.713572,0.95,0.05,0,0.2,0,0.808135,0,0.342105,1.386294,0,retry_storm_0,retry_storm
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,normal_traffic_0,normal_traffic
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,normal_traffic_0,normal_traffic
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,normal_traffic_0,normal_traffic
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,normal_traffic_0,normal_traffic
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,normal_traffic_0,normal_traffic
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,normal_traffic_0,normal_traffic
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,normal_traffic_0,normal_traffic
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,normal_traffic_0,normal_traffic
3.713572,0.1,0.9,0,1,0,0.811122,0,0.25,1.609438,0,normal_traffic_0,normal_traffic
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,flash_sale_0,flash_sale
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,flash_sale_0,flash_sale
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,flash_sale_0,flash_sale
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,flash_sale_0,flash_sale
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,flash_sale_0,flash_sale
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,flash_sale_0,flash_sale
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,flash_sale_0,flash_sale
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,flash_sale_0,flash_sale
4.795791,0.033333,0.966667,0,1,0,1.116039,0,0.25,1.609438,0,flash_sale_0,flash_sale
1.609438,0.75,0.25,0,0.25,0,0.300353,1,0.2,2.197225,0,customer_error_0,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.72549,1,0.2,2.197225,0,customer_error_0,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.130435,1,0.2,2.197225,0,customer_error_0,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.2,1,0.2,2.197225,0,customer_error_0,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.043478,1,0.2,2.197225,0,customer_error_0,customer_error
